Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets,Close,Volume,Open,High,Low,Day_of_week
2020,2,15,paypal,0,0,1,1,121.39,5576135.5,120.31,122.045,119.74,Saturday
2020,2,16,apple,5,1,1,7,80.49375,116438000,80.0125,80.71625,79.6825,Sunday
2020,2,16,microsoft,3,0,1,4,186.29,25501315,184.4275,186.555,184.075,Sunday
2020,2,16,tesla,17,12,10,39,165.843,80980200,162.882,167.297,161.786,Sunday
2020,2,16,nvidia,1,0,1,2,73.295,83190240,71.613,74.035,71.3575,Sunday
2020,2,17,apple,18,7,12,37,80.121875,134600100,79.42625,80.326875,79.1675,Monday
2020,2,17,microsoft,4,0,3,7,186.76,26677212.5,185.01625,187.1275,184.7875,Monday
2020,2,17,tesla,25,9,25,59,168.7615,82236025,165.601,169.6485,164.129,Monday
2020,2,17,nvidia,0,1,3,4,73.71875,72689180,71.512,74.18125,71.28625,Monday
2020,2,18,apple,22,19,28,69,79.75,152762200,78.84,79.9375,78.6525,Tuesday
2020,2,18,microsoft,15,0,15,30,187.23,27853110,185.605,187.7,185.5,Tuesday
2020,2,18,tesla,40,15,39,94,171.68,83491850,168.32,172,166.472,Tuesday
2020,2,18,nvidia,3,1,1,5,74.1425,62188120,71.411,74.3275,71.215,Tuesday
2020,2,18,paypal,0,0,1,1,122.27,5085799,122.58,122.99,121.68,Tuesday
2020,2,19,apple,29,8,9,46,80.905,93983960,80,81.1425,80,Wednesday
2020,2,19,microsoft,11,3,5,19,187.28,29997470,188.06,188.18,186.47,Wednesday
2020,2,19,tesla,70,28,64,162,183.484,127114800,184.7,188.956,180.204,Wednesday
2020,2,19,nvidia,5,0,6,11,78.675,69433120,75.3725,78.8525,75.3714,Wednesday
2020,2,20,apple,21,4,12,37,80.075,100565960,80.6575,81.1625,79.5525,Thursday
2020,2,20,microsoft,8,1,4,13,184.42,36862380,186.95,187.25,181.1,Thursday
2020,2,20,tesla,57,12,30,99,179.882,88174450,182.39,182.4,171.988,Thursday
2020,2,20,nvidia,1,1,4,6,77.175,81005040,78.1912,79.08,74.0875,Thursday
2020,2,21,apple,18,3,18,39,78.2625,129705680,79.655,80.1125,77.625,Friday
2020,2,21,microsoft,10,1,7,18,178.59,48600390,183.17,183.5,177.25,Friday
2020,2,21,tesla,35,12,25,72,180.2,71697250,181.396,182.612,176.09,Friday
2020,2,21,nvidia,5,1,2,8,73.5175,76929320,76.0475,76.3,72.665,Friday
2020,2,21,paypal,1,0,0,1,119.49,5896230,121.72,121.85,118.53,Friday
2020,2,22,apple,5,3,4,12,77.02333333,160535560,77.875,78.75666667,75.8525,Saturday
2020,2,22,microsoft,5,0,5,10,176.0233333,55170616.67,178.0366667,180.5166667,172.5766667,Saturday
2020,2,22,tesla,19,9,8,36,175.7193333,73118433.33,176.864,179.308,172.2066667,Saturday
2020,2,22,nvidia,1,2,1,4,71.785,79850040,73.21416667,74.35603333,70.77666667,Saturday
2020,2,23,apple,4,1,4,9,75.78416667,191365440,76.095,77.40083333,74.08,Sunday
2020,2,23,microsoft,4,1,2,7,173.4566667,61740843.33,172.9033333,177.5333333,167.9033333,Sunday
2020,2,23,tesla,21,3,19,43,171.2386667,74539616.67,172.332,176.004,168.3233333,Sunday
2020,2,23,nvidia,0,1,1,2,70.0525,82770760,70.38083333,72.41206667,68.88833333,Sunday
2020,2,24,apple,17,13,21,51,74.545,222195320,74.315,76.045,72.3075,Monday
2020,2,24,microsoft,10,6,7,23,170.89,68311070,167.77,174.55,163.23,Monday
2020,2,24,tesla,45,11,27,83,166.758,75960800,167.8,172.7,164.44,Monday
2020,2,24,nvidia,4,1,5,10,68.32,85691480,67.5475,70.4681,67,Monday
2020,2,25,apple,14,6,23,43,72.02,230673440,75.2375,75.6325,71.5325,Tuesday
2020,2,25,microsoft,16,8,13,37,168.07,68073300,174.2,174.84,167.6462,Tuesday
2020,2,25,tesla,41,15,23,79,159.982,86452400,169.8,171.32,157.4,Tuesday
2020,2,25,nvidia,1,1,6,8,65.5125,105549760,69.076,69.6975,64.49,Tuesday
2020,2,25,paypal,0,0,1,1,109.66,13636130,115.67,116.415,109.33,Tuesday
2020,2,26,apple,20,0,21,41,73.1625,198713720,71.6325,74.47,71.625,Wednesday
2020,2,26,microsoft,15,2,12,29,170.17,56387150,169.71,173.26,168.21,Wednesday
2020,2,26,tesla,27,11,23,61,155.76,70769200,156.5,162.662,155.222,Wednesday
2020,2,26,nvidia,3,1,1,5,66.9125,74966160,65.515,68.8625,65.5,Wednesday
2020,2,26,paypal,2,0,0,2,109.11,10306930,109.81,112.63,108.6,Wednesday
2020,2,27,apple,13,5,17,35,68.38,320605520,70.275,71.5,68.24,Thursday
2020,2,27,microsoft,10,8,12,30,158.18,93174910,163.32,167.03,157.98,Thursday
