,Stock name,Date,Year,Month,Day,dayOfWeek,Close,Open,High,Low,Volume,Positive,Negative,Neutral,Total_Tweets
156,APPL,2020-06-05,2020,6,5,Friday,82.875,80.8375,82.9375,80.8075,137250200.0,25.0,2.0,40.0,67.0
157,APPL,2020-06-06,2020,6,6,Saturday,83.03833333333333,81.41250000000001,83.09166666666667,81.14833333333334,123384973.33333333,15.0,1.0,12.0,28.0
158,APPL,2020-06-07,2020,6,7,Sunday,83.20166666666667,81.9875,83.24583333333334,81.48916666666666,109519746.66666667,8.0,0.0,12.0,20.0
159,APPL,2020-06-08,2020,6,8,Monday,83.365,82.5625,83.4,81.83,95654520.0,29.0,4.0,16.0,49.0
160,APPL,2020-06-09,2020,6,9,Tuesday,85.9975,83.035,86.4025,83.0025,147712360.0,46.0,4.0,29.0,79.0
161,APPL,2020-06-10,2020,6,10,Wednesday,88.21,86.975,88.6925,86.5225,166651760.0,37.0,7.0,35.0,79.0
162,APPL,2020-06-11,2020,6,11,Thursday,83.975,87.3275,87.765,83.87,201662440.0,33.0,3.0,31.0,67.0
163,APPL,2020-06-12,2020,6,12,Friday,84.7,86.18,86.95,83.5558,200146040.0,26.0,5.0,29.0,60.0
164,APPL,2020-06-13,2020,6,13,Saturday,85.04916666666666,85.22416666666668,86.77333333333334,83.41886666666667,179700333.33333334,24.0,1.0,15.0,40.0
165,APPL,2020-06-14,2020,6,14,Sunday,85.39833333333334,84.26833333333333,86.59666666666666,83.28193333333333,159254626.66666666,20.0,2.0,12.0,34.0
166,APPL,2020-06-15,2020,6,15,Monday,85.7475,83.3125,86.42,83.145,138808920.0,25.0,4.0,13.0,42.0
167,APPL,2020-06-16,2020,6,16,Tuesday,88.02,87.865,88.3,86.18,165428720.0,24.0,1.0,27.0,52.0
168,APPL,2020-06-17,2020,6,17,Wednesday,87.8975,88.7875,88.85,87.7725,114406520.0,27.0,3.0,19.0,49.0
169,APPL,2020-06-18,2020,6,18,Thursday,87.9325,87.8525,88.3625,87.305,96820400.0,34.0,3.0,13.0,50.0
170,APPL,2020-06-19,2020,6,19,Friday,87.43,88.6587,89.14,86.2875,264475800.0,34.0,8.0,35.0,77.0
171,APPL,2020-06-20,2020,6,20,Saturday,88.19250000000001,88.38413333333332,89.38166666666666,86.7875,221465626.66666666,14.0,7.0,19.0,40.0
172,APPL,2020-06-21,2020,6,21,Sunday,88.955,88.10956666666667,89.62333333333333,87.2875,178455453.3333333,10.0,9.0,13.0,32.0
173,APPL,2020-06-22,2020,6,22,Monday,89.7175,87.835,89.865,87.7875,135445280.0,48.0,6.0,35.0,89.0
174,APPL,2020-06-23,2020,6,23,Tuesday,91.6325,91.0,93.095,90.5675,212155480.0,54.0,14.0,58.0,126.0
175,APPL,2020-06-24,2020,6,24,Wednesday,90.015,91.25,92.1975,89.63,192623400.0,38.0,3.0,29.0,70.0
176,APPL,2020-06-25,2020,6,25,Thursday,91.21,90.175,91.25,89.3925,137522520.0,25.0,5.0,26.0,56.0
177,APPL,2020-06-26,2020,6,26,Friday,88.4075,91.1025,91.33,88.255,205256840.0,29.0,7.0,27.0,63.0
178,APPL,2020-06-27,2020,6,27,Saturday,89.08666666666666,90.1725,91.0678,88.11,180386586.66666666,27.0,4.0,18.0,49.0
179,APPL,2020-06-28,2020,6,28,Sunday,89.76583333333333,89.2425,90.8056,87.96499999999999,155516333.33333334,23.0,4.0,15.0,42.0
180,APPL,2020-06-29,2020,6,29,Monday,90.445,88.3125,90.5434,87.82,130646080.0,24.0,10.0,24.0,58.0
181,APPL,2020-07-01,2020,7,1,Wednesday,91.0275,91.28,91.84,90.9775,110737240.0,25.0,5.0,28.0,58.0
182,APPL,2020-07-02,2020,7,2,Thursday,91.0275,91.9625,92.6175,90.91,114041480.0,40.0,4.0,17.0,61.0
183,APPL,2020-07-03,2020,7,3,Friday,91.63625,92.09687500000001,92.949375,91.299375,115195020.0,18.0,1.0,12.0,31.0
184,APPL,2020-07-04,2020,7,4,Saturday,92.245,92.23125,93.28125,91.68875,116348560.0,17.0,1.0,16.0,34.0
185,APPL,2020-07-05,2020,7,5,Sunday,92.85375,92.365625,93.613125,92.078125,117502100.0,12.0,3.0,32.0,47.0
186,APPL,2020-07-06,2020,7,6,Monday,93.4625,92.5,93.945,92.4675,118655640.0,27.0,4.0,21.0,52.0
187,APPL,2020-07-07,2020,7,7,Tuesday,93.1725,93.8525,94.655,93.0575,112424440.0,30.0,4.0,24.0,58.0
188,APPL,2020-07-08,2020,7,8,Wednesday,95.3425,94.18,95.375,94.09,117091880.0,24.0,9.0,23.0,56.0
189,APPL,2020-07-09,2020,7,9,Thursday,95.6825,96.2625,96.3175,94.6725,125642600.0,43.0,5.0,30.0,78.0
190,APPL,2020-07-10,2020,7,10,Friday,95.92,95.335,95.98,94.7052,90257320.0,24.0,5.0,25.0,54.0
191,APPL,2020-07-11,2020,7,11,Saturday,95.77250000000001,95.97833333333332,97.305,94.8893,124054600.0,35.0,6.0,29.0,70.0
192,APPL,2020-07-12,2020,7,12,Sunday,95.625,96.62166666666667,98.63,95.07339999999999,157851880.0,35.0,1.0,14.0,50.0
193,APPL,2020-07-13,2020,7,13,Monday,95.4775,97.265,99.955,95.2575,191649160.0,59.0,13.0,48.0,120.0
194,APPL,2020-07-14,2020,7,14,Tuesday,97.0575,94.84,97.255,93.8775,170989360.0,61.0,3.0,37.0,101.0
195,APPL,2020-07-15,2020,7,15,Wednesday,97.725,98.99,99.2475,96.49,153197920.0,50.0,18.0,45.0,113.0
196,APPL,2020-07-16,2020,7,16,Thursday,96.5225,96.5625,97.405,95.905,110577680.0,45.0,8.0,40.0,93.0
197,APPL,2020-07-17,2020,7,17,Friday,96.3275,96.9875,97.1475,95.84,92186920.0,41.0,4.0,24.0,69.0
198,APPL,2020-07-18,2020,7,18,Saturday,97.00416666666666,96.7971,97.59833333333333,95.91416666666667,91563920.0,29.0,2.0,14.0,45.0
199,APPL,2020-07-19,2020,7,19,Sunday,97.68083333333334,96.6067,98.04916666666666,95.98833333333333,90940920.0,37.0,2.0,23.0,62.0
200,APPL,2020-07-20,2020,7,20,Monday,98.3575,96.4163,98.5,96.0625,90317920.0,43.0,8.0,28.0,79.0
